site;sample;pcr1;pcr2;pcr3;pcr4;pcr5;pcr6;pcr7;pcr8;pcr9
NASTA_2020;5;0;0;0;NA;NA;NA;NA;NA;NA
NASTA_2020;6;0;0;0;NA;NA;NA;NA;NA;NA
NASTA_2021;1;0;0;0;0;0;0;NA;NA;NA
NASTA_2021;2;0;0;0;0;0;0;NA;NA;NA
NASTA_2021;3;0;0;0;0;0;0;NA;NA;NA
NASTA_2021;4;0;0;0;0;0;0;NA;NA;NA
NASTA_2021;5;0;0;0;0;0;0;NA;NA;NA
NASTA_2021;6;0;0;0;0;0;0;NA;NA;NA
NASTA_2021;7;0;0;0;0;0;0;NA;NA;NA
NASTA_2021;8;0;0;0;0;0;0;NA;NA;NA
NASTA_2021;9;0;0;0;0;0;0;NA;NA;NA
NASTA_2021;10;0;0;0;0;0;0;NA;NA;NA
NASTA_2021;11;0;0;0;0;0;0;NA;NA;NA
NASTA_2021;12;0;0;0;0;0;0;NA;NA;NA
NASTA_2021;13;0;0;0;0;0;0;NA;NA;NA
NASTA_2021;14;0;0;0;1;0;0;NA;NA;NA
NASTA_2021;15;0;0;0;0;0;0;NA;NA;NA
NASTA_2022;1;0;0;0;NA;NA;NA;NA;NA;NA
NASTA_2022;2;0;0;0;NA;NA;NA;NA;NA;NA
NASTA_2022;3;0;0;0;NA;NA;NA;NA;NA;NA
NASTA_2022;4;0;1;0;0;0;0;0;0;0
NASTA_2022;5;0;0;0;NA;NA;NA;NA;NA;NA
NASTA_2022;6;0;0;0;NA;NA;NA;NA;NA;NA
PLLM_2020;1;0;0;0;NA;NA;NA;NA;NA;NA
PLLM_2020;2;0;0;0;NA;NA;NA;NA;NA;NA
PLLM_2020;3;0;0;0;NA;NA;NA;NA;NA;NA
PLLM_2020;4;0;0;0;NA;NA;NA;NA;NA;NA
PLLM_2020;5;0;0;0;NA;NA;NA;NA;NA;NA
PLLM_2020;6;0;0;0;NA;NA;NA;NA;NA;NA
TASIU_2020;1;0;0;0;NA;NA;NA;NA;NA;NA
TASIU_2020;2;0;0;0;NA;NA;NA;NA;NA;NA
TASIU_2020;3;0;0;0;NA;NA;NA;NA;NA;NA
WIYA_2020;1;0;0;0;NA;NA;NA;NA;NA;NA
WIYA_2020;2;0;0;0;NA;NA;NA;NA;NA;NA
WIYA_2020;3;0;0;0;NA;NA;NA;NA;NA;NA
WIYA_2020;4;0;0;0;NA;NA;NA;NA;NA;NA
WIYA_2020;5;0;0;0;NA;NA;NA;NA;NA;NA
WIYA_2020;6;0;0;0;NA;NA;NA;NA;NA;NA
WIYA_2021;1;0;0;0;NA;NA;NA;NA;NA;NA
WIYA_2021;2;0;0;0;NA;NA;NA;NA;NA;NA
WIYA_2021;3;0;0;0;NA;NA;NA;NA;NA;NA
WIYA_2021;4;0;0;0;NA;NA;NA;NA;NA;NA
WIYA_2021;5;0;0;0;NA;NA;NA;NA;NA;NA
WIYA_2021;6;0;0;0;NA;NA;NA;NA;NA;NA
WIYA_2021;7;0;0;0;NA;NA;NA;NA;NA;NA
WIYA_2021;8;0;0;0;NA;NA;NA;NA;NA;NA
WIYA_2021;9;0;0;0;NA;NA;NA;NA;NA;NA
BIENVILLE_2023;1;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;2;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;3;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;4;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;5;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;6;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;7;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;8;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;9;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;10;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;11;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;12;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;13;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;14;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;15;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;16;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;17;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;18;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;19;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;20;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;21;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;22;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;23;0;0;0;0;0;0;NA;NA;NA
BIENVILLE_2023;24;0;0;0;0;0;0;NA;NA;NA
